raw_received_timestamp_ms,feature_extraction_timestamp_ms,model_prediction_timestamp_ms,pair_seq,predicted_activity,risk_status,alert_triggered,risky_counter,sensor1_neutral_ax,sensor1_neutral_ay,sensor1_neutral_az,sensor2_neutral_ax,sensor2_neutral_ay,sensor2_neutral_az
40225,40225,40226,1338,sitting,Safe,No,0,,,,,,
40533,40533,40533,1350,elbow_flexion,Risky,No,1,,,,,,
41050,41050,41051,1362,sitting,Safe,No,0,,,,,,
41275,41275,41276,1374,sitting,Safe,No,0,,,,,,
41635,41635,41636,1386,sitting,Safe,No,0,,,,,,
41849,41849,41850,1398,sitting,Safe,No,0,,,,,,
42051,42051,42052,1410,sitting,Safe,No,0,,,,,,
42333,42333,42334,1422,sitting,Safe,No,0,,,,,,
42524,42524,42525,1434,sitting,Safe,No,0,,,,,,
42839,42839,42839,1446,sitting,Safe,No,0,,,,,,
43052,43053,43053,1458,sitting,Safe,No,0,,,,,,
43289,43289,43289,1470,sitting,Safe,No,0,,,,,,
43559,43559,43560,1482,sitting,Safe,No,0,,,,,,
43885,43885,43886,1494,sitting,Safe,No,0,,,,,,
44526,44526,44527,1506,sitting,Safe,No,0,,,,,,
44762,44763,44763,1518,sitting,Safe,No,0,,,,,,
45145,45145,45146,1530,sitting,Safe,No,0,,,,,,
45584,45584,45584,1542,sitting,Safe,No,0,,,,,,
45854,45854,45855,1554,sitting,Safe,No,0,,,,,,
46169,46169,46170,1566,sitting,Safe,No,0,,,,,,
46439,46439,46440,1578,sitting,Safe,No,0,,,,,,
46810,46810,46811,1590,sitting,Safe,No,0,,,,,,
47181,47181,47182,1602,sitting,Safe,No,0,,,,,,
47474,47474,47475,1614,sitting,Safe,No,0,,,,,,
47924,47924,47925,1626,sitting,Safe,No,0,,,,,,
48216,48217,48217,1638,sitting,Safe,No,0,,,,,,
48509,48509,48509,1650,sitting,Safe,No,0,,,,,,
48947,48948,48948,1662,sitting,Safe,No,0,,,,,,
49285,49285,49286,1674,sitting,Safe,No,0,,,,,,
49892,49893,49893,1686,sitting,Safe,No,0,,,,,,
50151,50151,50152,1698,sitting,Safe,No,0,,,,,,
51018,51018,51018,1710,sitting,Safe,No,0,,,,,,
51782,51782,51783,1722,sitting,Safe,No,0,,,,,,
52131,52132,52132,1734,sitting,Safe,No,0,,,,,,
52559,52559,52560,1746,sitting,Safe,No,0,,,,,,
52885,52885,52886,1758,sitting,Safe,No,0,,,,,,
53313,53313,53313,1770,sitting,Safe,No,0,,,,,,
53920,53920,53921,1782,sitting,Safe,No,0,,,,,,
54235,54235,54236,1794,sitting,Safe,No,0,,,,,,
54651,54652,54652,1806,sitting,Safe,No,0,,,,,,
55011,55011,55012,1818,sitting,Safe,No,0,,,,,,
55360,55360,55361,1830,sitting,Safe,No,0,,,,,,
55832,55833,55833,1842,sitting,Safe,No,0,,,,,,
56113,56114,56114,1854,sitting,Safe,No,0,,,,,,
56620,56620,56621,1866,sitting,Safe,No,0,,,,,,
56957,56958,56958,1878,sitting,Safe,No,0,,,,,,
57284,57284,57284,1890,sitting,Safe,No,0,,,,,,
57643,57644,57644,1902,sitting,Safe,No,0,,,,,,
57959,57959,57959,1914,sitting,Safe,No,0,,,,,,
58274,58274,58274,1926,sitting,Safe,No,0,,,,,,
58498,58499,58499,1938,sitting,Safe,No,0,,,,,,
58780,58780,58781,1950,sitting,Safe,No,0,,,,,,
59263,59263,59264,1962,sitting,Safe,No,0,,,,,,
